Compound,Negative,Neutral Score,Positive,Tweet Number,Tweet Text
0.0,0.0,1.0,0.0,1,Conservative firebrand Jim Jordan is running for speaker of the House. Here's why. | Analysis by @CillizzaCNN… https://t.co/Sg6zSTA6Hl
0.0,0.0,1.0,0.0,2,A radio station in New Jersey took two midday show hosts off the air after they referred to the state's Sikh attorn… https://t.co/YIpcX2nIWK
0.452,0.0,0.871,0.129,3,This man built a floating bicycle so he could clean trash from a river in order to raise awareness about plastic po… https://t.co/tYMhmtUdgT
0.273,0.0,0.884,0.116,4,Former Trump administration aide Omarosa Manigault-Newman has an August surprise for the President and the public:… https://t.co/oTGEUM5rz5
-0.637,0.317,0.583,0.1,5,"New Zealand has passed legislation giving victims of domestic violence the right to ask for 
paid leave https://t.co/dnggo3cc1t"
0.402,0.0,0.87,0.13,6,Special counsel Robert Mueller has been reviewing President Trump's Twitter feed as part of the former FBI director… https://t.co/mxssbEBAEi
0.0,0.0,1.0,0.0,7,These aerial photos show human impact on Earth https://t.co/QuBdlOCJJ8 https://t.co/dLnQEgoz6u
-0.599,0.262,0.738,0.0,8,Corporate America is caught in the crossfire of trade war https://t.co/bgWHSDtaPP https://t.co/yFJeNHD7Wc
-0.533,0.168,0.832,0.0,9,She's an Instagram influencer. She's also not real -- but some brands don't seem to care https://t.co/G1SIPCedWo https://t.co/pzM3pi2TKC
0.0,0.0,1.0,0.0,10,"Dallas Cowboys owner Jerry Jones says that President Trump comments on the ongoing NFL anthem debate are ""problemat… https://t.co/Uv4WjY6d82"
0.0,0.0,1.0,0.0,11,You may think of the Antarctic as pristine wilderness. But it's already showing the effects of human activity thous… https://t.co/WC4wowo0hB
0.0,0.0,1.0,0.0,12,RT @CNNMoney: RadioShack is back. Kinda https://t.co/bGbdQsw6pf https://t.co/68OfpHB379
0.637,0.0,0.826,0.174,13,"Rep. Jim Jordan, a leader in the conservative House Freedom Caucus and former chairman of the group, says he will a… https://t.co/b12yiKKv9s"
-0.586,0.202,0.798,0.0,14,"President Trump and Vice President Mike Pence threaten to impose ""large sanctions"" on its NATO ally Turkey if the c… https://t.co/AlXB3BVFYU"
-0.637,0.317,0.583,0.1,15,"New Zealand has passed legislation giving victims of domestic violence the right to ask for 
paid leave https://t.co/SCNeA5hJoc"
-0.751,0.299,0.701,0.0,16,Two off-duty New Orleans police officers were arrested after allegedly assaulting a man outside a bar early Tuesday… https://t.co/ghQ8WXDqqp
-0.477,0.194,0.806,0.0,17,What happens if the US misses its deadline to reunite families? The short answer: No one really knows.… https://t.co/TV2zdSGBMw
-0.438,0.194,0.806,0.0,18,"Michael Cohen sent up flares, but Trump never came to help https://t.co/eWI6GQpwUz https://t.co/jNJAEC8Whp"
-0.309,0.111,0.889,0.0,19,House Speaker Paul Ryan says he does not support House conservatives' efforts to impeach Deputy Attorney General Ro… https://t.co/cElEhCJpqa
0.0,0.0,1.0,0.0,20,Why Trump blinked on Putin and trade | Analysis by @StCollinson https://t.co/xJsLdo5hId https://t.co/AV7H4sxozE
0.0,0.0,1.0,0.0,21,Conservative firebrand Jim Jordan is running for speaker of the House. Here's why. | Analysis by @CillizzaCNN… https://t.co/Sg6zSTA6Hl
0.0,0.0,1.0,0.0,22,A radio station in New Jersey took two midday show hosts off the air after they referred to the state's Sikh attorn… https://t.co/YIpcX2nIWK
0.452,0.0,0.871,0.129,23,This man built a floating bicycle so he could clean trash from a river in order to raise awareness about plastic po… https://t.co/tYMhmtUdgT
0.273,0.0,0.884,0.116,24,Former Trump administration aide Omarosa Manigault-Newman has an August surprise for the President and the public:… https://t.co/oTGEUM5rz5
-0.637,0.317,0.583,0.1,25,"New Zealand has passed legislation giving victims of domestic violence the right to ask for 
paid leave https://t.co/dnggo3cc1t"
0.402,0.0,0.87,0.13,26,Special counsel Robert Mueller has been reviewing President Trump's Twitter feed as part of the former FBI director… https://t.co/mxssbEBAEi
0.0,0.0,1.0,0.0,27,These aerial photos show human impact on Earth https://t.co/QuBdlOCJJ8 https://t.co/dLnQEgoz6u
-0.599,0.262,0.738,0.0,28,Corporate America is caught in the crossfire of trade war https://t.co/bgWHSDtaPP https://t.co/yFJeNHD7Wc
-0.533,0.168,0.832,0.0,29,She's an Instagram influencer. She's also not real -- but some brands don't seem to care https://t.co/G1SIPCedWo https://t.co/pzM3pi2TKC
0.0,0.0,1.0,0.0,30,"Dallas Cowboys owner Jerry Jones says that President Trump comments on the ongoing NFL anthem debate are ""problemat… https://t.co/Uv4WjY6d82"
0.0,0.0,1.0,0.0,31,You may think of the Antarctic as pristine wilderness. But it's already showing the effects of human activity thous… https://t.co/WC4wowo0hB
0.0,0.0,1.0,0.0,32,RT @CNNMoney: RadioShack is back. Kinda https://t.co/bGbdQsw6pf https://t.co/68OfpHB379
0.637,0.0,0.826,0.174,33,"Rep. Jim Jordan, a leader in the conservative House Freedom Caucus and former chairman of the group, says he will a… https://t.co/b12yiKKv9s"
-0.586,0.202,0.798,0.0,34,"President Trump and Vice President Mike Pence threaten to impose ""large sanctions"" on its NATO ally Turkey if the c… https://t.co/AlXB3BVFYU"
-0.637,0.317,0.583,0.1,35,"New Zealand has passed legislation giving victims of domestic violence the right to ask for 
paid leave https://t.co/SCNeA5hJoc"
-0.751,0.299,0.701,0.0,36,Two off-duty New Orleans police officers were arrested after allegedly assaulting a man outside a bar early Tuesday… https://t.co/ghQ8WXDqqp
-0.477,0.194,0.806,0.0,37,What happens if the US misses its deadline to reunite families? The short answer: No one really knows.… https://t.co/TV2zdSGBMw
-0.438,0.194,0.806,0.0,38,"Michael Cohen sent up flares, but Trump never came to help https://t.co/eWI6GQpwUz https://t.co/jNJAEC8Whp"
-0.309,0.111,0.889,0.0,39,House Speaker Paul Ryan says he does not support House conservatives' efforts to impeach Deputy Attorney General Ro… https://t.co/cElEhCJpqa
0.0,0.0,1.0,0.0,40,Why Trump blinked on Putin and trade | Analysis by @StCollinson https://t.co/xJsLdo5hId https://t.co/AV7H4sxozE
-0.818,0.273,0.727,0.0,41,"Mary Ellis, a ""pioneering female aviator"" who flew in World War II, has died at the age of 101. Ellis helped delive… https://t.co/ATx0QddWD6"
-0.459,0.15,0.85,0.0,42,Some immigrant parents are facing a heartbreaking choice of whether to bring their children with them when they're… https://t.co/lnVYbeEaS2
0.66,0.0,0.787,0.213,43,"David Thomas waited all his life to see the ocean. With the help of a special beach wheelchair, he finally got the… https://t.co/ig5em8fGXZ"
0.318,0.0,0.892,0.108,44,This new NASA animation shows the dramatic increase of near-Earth objects. See how many asteroids and comets have c… https://t.co/p2wrunRzT8
0.0,0.0,1.0,0.0,45,"Putin gave Trump a soccer ball during a news conference last week in Helsinki, Finland -- and the ball may have con… https://t.co/yUXgCUc0Eo"
0.273,0.0,0.884,0.116,46,Former Trump administration aide Omarosa Manigault-Newman has an August surprise for the President and the public:… https://t.co/vcEzUVHEkg
-0.625,0.227,0.773,0.0,47,Facebook stock is on track for its worst day ever. CNN’s @CristinaAlesci explains: https://t.co/wcUlUvMeIz https://t.co/7oBysi0LNc
-0.866,0.314,0.686,0.0,48,"More than 200 people dead, 180 wounded after ISIS militants go home to home, killing families as they slept, before… https://t.co/G9fn3RkyfP"
0.382,0.117,0.664,0.219,49,"After a series of prominent failures, there's reason to be hopeful in the search for a drug to slow the progression… https://t.co/nqN8PtOY1B"
0.0,0.0,1.0,0.0,50,The oldest American candy company has suddenly closed its factory https://t.co/8wZujsHhOZ https://t.co/gOlWoOgKh8
-0.296,0.18,0.82,0.0,51,"New Zealand has accused Australia of ""copying"" its flag https://t.co/8hfKN2SZxF https://t.co/7kfiiwIYFh"
-0.778,0.281,0.719,0.0,52,RT @CNNMoney: Nasdaq drops 1% at the open as Facebook plunges 19%. Facebook on track for worst one-day drop after issuing gloomy forecast.…
-0.402,0.119,0.881,0.0,53,UK summer temperatures are set to hit new highs and deadly heat waves are projected to become a bigger problem beca… https://t.co/EMUHTmzdsE
0.0,0.0,1.0,0.0,54,"The US government has until 6 p.m. ET today to reunite all eligible families that it separated. 

Follow here for l… https://t.co/CTyGBEG2p6"
-0.026,0.15,0.704,0.146,55,What happened the last time a President chose America's enemies over its friends | Manisha Sinha for @CNNopinion… https://t.co/wZ9pyZTS0M
0.0,0.0,1.0,0.0,56,This new skyscraper in China has a 354-foot-tall artificial waterfall https://t.co/Hvs8Dxn9zo https://t.co/5VWkRmABQB
-0.866,0.416,0.584,0.0,57,Disgraced USA Gymnastics team doctor Larry Nassar is asking to be resentenced on sexual assault charges in Michigan… https://t.co/y5MZJ7iDZW
0.0,0.0,1.0,0.0,58,"When students return to Marjory Stoneman Douglas High School in three weeks, they won't have to use see-through bac… https://t.co/ovZM4HRqNG"
0.511,0.0,0.798,0.202,59,"Today's top business headlines with @ChristineRomans before the opening bell on Wall Street:

- US, EU agree to wor… https://t.co/0WPuhYj8eK"
-0.586,0.211,0.789,0.0,60,A person police were trying to arrest near Phoenix took an officer's gun and shot two Arizona state troopers Wednes… https://t.co/2EVHRXJEUw
-0.077,0.115,0.733,0.152,61,"No matter where you are in the US, chances are high you're experiencing extreme weather today… https://t.co/F2M4bQ8Mv5"
-0.637,0.271,0.643,0.086,62,New Zealand has passed legislation giving victims of domestic violence the right to ask for 10 days of paid leave i… https://t.co/fL8Vu05XaU
0.0,0.0,1.0,0.0,63,"5 things for Thursday:

- White House
- Syria
- Facebook
- Toronto shooting
- Mars

https://t.co/EktAwCmacf https://t.co/SHcAXIqUji"
-0.818,0.273,0.727,0.0,64,"Mary Ellis, a ""pioneering female aviator"" who flew in World War II, has died at the age of 101. Ellis helped delive… https://t.co/4oUx6E08YE"
0.494,0.0,0.738,0.262,65,These startups are trying to save local news https://t.co/JHJh7VtGe0 https://t.co/3OTuTiJDAa
0.452,0.0,0.871,0.129,66,This man built a floating bicycle so he could clean trash from a river in order to raise awareness about plastic po… https://t.co/If9omiRdkF
-0.751,0.299,0.701,0.0,67,Two off-duty New Orleans police officers were arrested after allegedly assaulting a man outside a bar early Tuesday… https://t.co/VFUDZ2UiFn
-0.866,0.416,0.584,0.0,68,Disgraced USA Gymnastics team doctor Larry Nassar is asking to be resentenced on sexual assault charges in Michigan… https://t.co/1DpVWdwpYo
-0.637,0.317,0.583,0.1,69,"New Zealand has passed legislation giving victims of domestic violence the right to ask for 
paid leave https://t.co/PZI9VCTPY5"
0.0,0.0,1.0,0.0,70,Investors are embracing the booming economy -- but they're preparing for a downturn https://t.co/jjSQMxnTLx
-0.296,0.18,0.82,0.0,71,"New Zealand has accused Australia of ""copying"" its flag https://t.co/XgCNGXgTG8 https://t.co/4jevn2aXQh"
0.0,0.0,1.0,0.0,72,An audio expert analyzes the secret Trump-Cohen tape https://t.co/3NJOvXkrsD https://t.co/iMf2SMpzQM
-0.557,0.194,0.806,0.0,73,"Days after a deadly shooting rampage, Toronto wants to ban handgun sales in the city https://t.co/ELSgOl5GPG https://t.co/MWMldELdOA"
-0.296,0.167,0.833,0.0,74,A man has been accused of starting the fast-growing California wildfire https://t.co/M8RfI96P3S https://t.co/wtZ2zypQov
0.586,0.0,0.725,0.275,75,Undefeated Triple Crown winner Justify is retiring from racing https://t.co/R0urCb0ZyF https://t.co/8Zt3d3izHg
0.0,0.0,1.0,0.0,76,The usually ultra-competitive White House press corps is showing unity after one reporter was barred from a preside… https://t.co/TWmn9gj055
0.0,0.0,1.0,0.0,77,"When students return to Marjory Stoneman Douglas High School in three weeks, they won't have to use see-through bac… https://t.co/2ad0tyW13W"
0.382,0.117,0.664,0.219,78,"After a series of prominent failures, there's reason to be hopeful in the search for a drug to slow the progression… https://t.co/008RZIkDDU"
-0.483,0.187,0.813,0.0,79,"""You don't talk; you watch talk shows. You don't play games; you watch game shows. Travel, relationships, risk: Eve… https://t.co/xwbCco9YNI"
0.0,0.0,1.0,0.0,80,Investors are embracing the booming economy -- but they're preparing for a downturn https://t.co/AIfdK6aY1p
0.0,0.0,1.0,0.0,81,"Putin gave Trump a soccer ball during a news conference last week in Helsinki, Finland -- and the ball may have con… https://t.co/PdvVpout87"
-0.202,0.101,0.899,0.0,82,"YouTube has deleted four videos posted by InfoWars founder Alex Jones, the controversial online personality famous… https://t.co/qJWH5TojPG"
0.202,0.0,0.913,0.087,83,Europe's top court has dealt Nestle a major setback in its effort to trademark the shape of the four-finger KitKat https://t.co/1U6V3tgeP5
-0.951,0.456,0.544,0.0,84,"The dam collapse that has killed at least 26 people and made more than 6,000 homeless is the worst disaster faced b… https://t.co/QVVJ245a5U"
-0.718,0.261,0.739,0.0,85,"Days after a shooting rampage in Toronto killed two people, its city council voted overwhelmingly to urge its feder… https://t.co/0yAxe9BRNm"
0.178,0.1,0.769,0.131,86,Investigators hope data from a missing Iowa woman's Fitbit may give them clues to her whereabouts after her disappe… https://t.co/LHIiBc9YP8
-0.44,0.132,0.868,0.0,87,"A large blaze at an apartment block in West Hampstead, London has been brought under control, according to London F… https://t.co/EvW9CTTtUh"
0.0,0.0,1.0,0.0,88,"An explosive device has been detonated in a public area at the US embassy in Beijing, close to the main compound, a… https://t.co/OiRg5eJfMZ"
0.0,0.0,1.0,0.0,89,"An explosive device has been detonated in a public area at the US embassy in Beijing, close to the main compound, a… https://t.co/whvC3yCvg8"
0.0,0.0,1.0,0.0,90,"An incident has taken place outside the US embassy compound in Beijing, CNN has confirmed. https://t.co/L6wbsZycdY"
0.128,0.104,0.769,0.127,91,"Former President Jimmy Carter says the United States has ""lost its place"" as a global leader in human rights… https://t.co/7VV8Lz6KZq"
0.0,0.0,1.0,0.0,92,The man who fishes for plastic from a floating bicycle https://t.co/zXCDV2kSU7 https://t.co/ZbXnJfKGUi
0.0,0.0,1.0,0.0,93,An audio expert analyzes the secret Trump-Cohen tape https://t.co/yPqMpPXJIq https://t.co/uNEb19vgCk
0.361,0.0,0.878,0.122,94,"It’s like a real-life Iron Man. This flying suit was built using 3D printed parts, specialist electronics and five… https://t.co/MpOX1uUViQ"
0.0,0.0,1.0,0.0,95,"Misty Copeland, Gigi Hadid to star in 2019 Pirelli calendar https://t.co/KqmdECr09d via @CNNStyle https://t.co/H7JUC2MqW1"
-0.422,0.202,0.798,0.0,96,A Japanese politician has come under fire for questioning whether LGBT taxpayers should receive equal welfare benef… https://t.co/F4SCglpMJs
-0.296,0.115,0.885,0.0,97,"New Zealand's acting Prime Minister Winston Peters has accused Australia of copying his country's flag, telling its… https://t.co/2yjOSBwC7z"
0.226,0.0,0.909,0.091,98,"After years of research, scientists have confirmed that liquid water exists on Mars. This could allow humans to fur… https://t.co/HLjJuhfvDX"
0.0,0.0,1.0,0.0,99,Watch this massive cargo plane pull off a loop-the-loop https://t.co/ySjuGTag20 https://t.co/WpJiCrMY9t
-0.026,0.175,0.656,0.169,100,What happened the last time a President chose America's enemies over its friends https://t.co/rcyTfwhYBy https://t.co/Sj00T880dz
-0.921,0.417,0.583,0.0,1,Jim Jordan is running for House speaker. He's a rising star conservative but is accused of ignoring sexual abuse as… https://t.co/Ri3oXOD0QG
0.0,0.0,1.0,0.0,2,"Amazon's facial recognition software, which it markets to law enforcement, misidentified Latino and Black faces mor… https://t.co/kVFwK3FOTm"
-0.103,0.091,0.909,0.0,3,"""Our father’s girlfriend made us a life-changing offer: She wants to pay off our loans"" https://t.co/UFQDLLVEG5"
0.558,0.0,0.859,0.141,4,Alabama was a practice run for a new kind of super PAC spending. Now a group has set its eyes — and at least $20 mi… https://t.co/X8zQWcqx1T
0.382,0.0,0.833,0.167,5,"""The approaches by Truman and Trump are representative of a larger truth: If you want to know what a president beli… https://t.co/gQn7yCXse0"
-0.153,0.078,0.922,0.0,6,"Missing pages from Malcolm X’s autobiography have long been the stuff of myth. But now the unpublished material, or… https://t.co/RqtODINhtJ"
0.0,0.0,1.0,0.0,7,"Women of color weren't supposed to be artists in the 19th century, much less work in marble. Edmonia Lewis defied t… https://t.co/y1uqM56AFP"
0.0,0.0,1.0,0.0,8,The parents who were deemed eligible for reunification represent only about a third of all those who were separated… https://t.co/3UnIjuirty
-0.382,0.106,0.894,0.0,9,"RT @tripgabriel: NEWS via ⁦@alexburnsNYT⁩: Senate Majority PAC to dump $20 million into voter turnout primarily in MO, IN, TN and AZ races…"
0.128,0.096,0.786,0.118,10,Trump has long wielded Twitter as a weapon. Now the special counsel is investigating his tweets as part of a broad… https://t.co/UFJ6pSLvvp
-0.852,0.328,0.672,0.0,11,"After her 17-year-old son was fatally shot in 2012, Lucy McBath became an anti-gun violence activist.

The Parkland… https://t.co/9RRLVxDxBy"
-0.805,0.355,0.645,0.0,12,"Larry Nassar wants his prison term to be reconsidered, arguing that the judge wasn't fair or impartial https://t.co/ZUkLVYCirg"
0.511,0.0,0.845,0.155,13,"RT @tmagazine: For the latest #TellTAJoke, @OITNB actress Natasha Lyonne (@nlyonne) pokes fun at the @NYTimesWordplay's puzzle editor Will…"
0.103,0.172,0.625,0.203,14,Worried about getting scammed? Here's how to protect yourself. https://t.co/X4p0VRoPqR
-0.866,0.36,0.64,0.0,15,"RT @NYTMetro: ""If you have a dirt bike, or an ATV, they associate you with being a bad person."" Dirt bikers say they're misunderstood. One…"
0.0,0.0,1.0,0.0,16,We sat down with a few conservative teens who attended this week's Turning Point USA conference to hear what it’s l… https://t.co/0otNYw4qRl
0.382,0.094,0.755,0.151,17,RT @bydanielvictor: One of the best things NYT has ever done is this photo gallery of parents applying sunscreen to visibly annoyed childre…
-0.49,0.258,0.742,0.0,18,Paleontologists once thought these dinosaurs did not reach East Asia. They were wrong. https://t.co/e1scIfA4Ex
-0.44,0.104,0.896,0.0,19,"RT @carolynryan: Caution: highly addictive. You can look up the town you grew up in, the block you live on now, every place you ever visite…"
0.751,0.111,0.521,0.368,20,"She first heard what sounded like a bomb going off a few miles away. Then came a curious noise, like a strong wind.… https://t.co/IGAhfzC62K"
-0.921,0.417,0.583,0.0,21,Jim Jordan is running for House speaker. He's a rising star conservative but is accused of ignoring sexual abuse as… https://t.co/Ri3oXOD0QG
0.0,0.0,1.0,0.0,22,"Amazon's facial recognition software, which it markets to law enforcement, misidentified Latino and Black faces mor… https://t.co/kVFwK3FOTm"
-0.103,0.091,0.909,0.0,23,"""Our father’s girlfriend made us a life-changing offer: She wants to pay off our loans"" https://t.co/UFQDLLVEG5"
0.558,0.0,0.859,0.141,24,Alabama was a practice run for a new kind of super PAC spending. Now a group has set its eyes — and at least $20 mi… https://t.co/X8zQWcqx1T
0.382,0.0,0.833,0.167,25,"""The approaches by Truman and Trump are representative of a larger truth: If you want to know what a president beli… https://t.co/gQn7yCXse0"
-0.153,0.078,0.922,0.0,26,"Missing pages from Malcolm X’s autobiography have long been the stuff of myth. But now the unpublished material, or… https://t.co/RqtODINhtJ"
0.0,0.0,1.0,0.0,27,"Women of color weren't supposed to be artists in the 19th century, much less work in marble. Edmonia Lewis defied t… https://t.co/y1uqM56AFP"
0.0,0.0,1.0,0.0,28,The parents who were deemed eligible for reunification represent only about a third of all those who were separated… https://t.co/3UnIjuirty
-0.382,0.106,0.894,0.0,29,"RT @tripgabriel: NEWS via ⁦@alexburnsNYT⁩: Senate Majority PAC to dump $20 million into voter turnout primarily in MO, IN, TN and AZ races…"
0.128,0.096,0.786,0.118,30,Trump has long wielded Twitter as a weapon. Now the special counsel is investigating his tweets as part of a broad… https://t.co/UFJ6pSLvvp
-0.852,0.328,0.672,0.0,31,"After her 17-year-old son was fatally shot in 2012, Lucy McBath became an anti-gun violence activist.

The Parkland… https://t.co/9RRLVxDxBy"
-0.805,0.355,0.645,0.0,32,"Larry Nassar wants his prison term to be reconsidered, arguing that the judge wasn't fair or impartial https://t.co/ZUkLVYCirg"
0.511,0.0,0.845,0.155,33,"RT @tmagazine: For the latest #TellTAJoke, @OITNB actress Natasha Lyonne (@nlyonne) pokes fun at the @NYTimesWordplay's puzzle editor Will…"
0.103,0.172,0.625,0.203,34,Worried about getting scammed? Here's how to protect yourself. https://t.co/X4p0VRoPqR
-0.866,0.36,0.64,0.0,35,"RT @NYTMetro: ""If you have a dirt bike, or an ATV, they associate you with being a bad person."" Dirt bikers say they're misunderstood. One…"
0.0,0.0,1.0,0.0,36,We sat down with a few conservative teens who attended this week's Turning Point USA conference to hear what it’s l… https://t.co/0otNYw4qRl
0.382,0.094,0.755,0.151,37,RT @bydanielvictor: One of the best things NYT has ever done is this photo gallery of parents applying sunscreen to visibly annoyed childre…
-0.49,0.258,0.742,0.0,38,Paleontologists once thought these dinosaurs did not reach East Asia. They were wrong. https://t.co/e1scIfA4Ex
-0.44,0.104,0.896,0.0,39,"RT @carolynryan: Caution: highly addictive. You can look up the town you grew up in, the block you live on now, every place you ever visite…"
0.751,0.111,0.521,0.368,40,"She first heard what sounded like a bomb going off a few miles away. Then came a curious noise, like a strong wind.… https://t.co/IGAhfzC62K"
0.0,0.0,1.0,0.0,41,"In newly disclosed emails, Michigan Republicans boast of concentrating ""Dem garbage"" into four of the five southeas… https://t.co/TFH6tWKO9G"
-0.128,0.073,0.927,0.0,42,"Even in counties that voted overwhelmingly for Donald Trump or Hillary Clinton, there are small pockets that went t… https://t.co/3FOUu7GWP5"
0.296,0.0,0.896,0.104,43,"Breaking News: Facebook shares plunged more than 18 percent in early trading, erasing over $110 billion from the so… https://t.co/4nosck9u4m"
-0.866,0.393,0.607,0.0,44,A third suspect in the killing of the 20-year-old Florida rapper XXXTentacion was arrested on Wednesday morning in… https://t.co/RXlfbIFPuf
0.0,0.0,1.0,0.0,45,Breaking News: The charismatic cricketer Imran Khan appears close to becoming Pakistan's next prime minister. He's… https://t.co/QVUBmujOdy
0.25,0.0,0.909,0.091,46,"Ken Kurson, a Kushner ally, was poised to get a seat on the board of the National Endowment for the Humanities. The… https://t.co/2nRkbm8Gwy"
-0.557,0.135,0.865,0.0,47,"RT @mattfleg: Lanny Davis on the Cohen tape: Trump and Rudy ""walked into the trap."" Rudy on Lanny: ""He’s basically destroying his client as…"
-0.026,0.099,0.807,0.094,48,"Mike Pompeo refused to discuss the meeting between Trump and Putin in Finland last week. ""Presidents are entitled t… https://t.co/6ob4K4G943"
-0.273,0.1,0.9,0.0,49,"In a series of scenes, Sacha Baron Cohen got Republican lawmaker Jason Spencer to yell a racial epithet and drop hi… https://t.co/UznkjWqUnl"
0.0,0.0,1.0,0.0,50,Morning Briefing: Here's what you need to know to start your day https://t.co/BIKG74uRrt https://t.co/Giso0AYl2Q
0.0,0.0,1.0,0.0,51,"""We all make mistakes,"" Sean Spicer said as a BBC anchor grilled him on his infamous first briefing, in which he ma… https://t.co/C0FrBMSOqt"
-0.25,0.126,0.794,0.079,52,The federal budget deficit is growing much faster than economists had predicted. The reason is President Trump's ta… https://t.co/3ZSbhckqHn
0.0,0.0,1.0,0.0,53,Do you live in a political bubble? Explore this detailed map of the 2016 presidential election. https://t.co/2uUIohih1j
0.586,0.0,0.769,0.231,54,"Your daily @DealBook Briefing:

• Facebook isn't bulletproof after all.

• The U.S. and Europe want trade peace. Fo… https://t.co/xY2RUdNJ94"
0.422,0.0,0.851,0.149,55,"An explosion rocked the street outside the United States Embassy in Beijing on Thursday, rattling a diplomatically… https://t.co/9D561t5KFS"
0.511,0.0,0.842,0.158,56,"For the past few weeks, Mars has been growing brighter in the night sky. Here's how to see  the red planet at its c… https://t.co/gYx7fedLoY"
0.422,0.0,0.851,0.149,57,"Is the United States' policy toward Russia what the president says, or what the government does? https://t.co/TWwTfbhE0b"
